id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage,intake_signals
81,Indiana Department of Education — Adult Education,education,Statewide,"Indiana Department of Education — Adult Education serves justice-involved adults and families rebuilding stability after incarceration in throughout Indiana. State resource connecting Indiana adults including returning citizens to HSE/GED, adult diploma, and skills training at local adult education sites. Classes are typically free or low-cost for Indiana adults; orientation may be required before enrollment in GED or vocational tracks. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","Indiana Department of Education — Adult Education sirve a adultos con antecedentes penales y familias que reconstruyen estabilidad después de la encarcelación en en todo Indiana. Las clases suelen ser gratuitas o de bajo costo para adultos en Indiana; puede requerirse orientación antes de inscribirse en GED o capacitación vocacional. Contacte el programa para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.",115 West Washington Street,Indianapolis,(877) 644-6338,,https://www.in.gov/doe/students/indiana-adult-education/,Indiana residents meeting program rules for Indiana Department of Education — Adult Education; criminal record is generally not a barrier to information and referral services.,Residentes de indiana que cumplan las reglas del programa para Indiana Department of Education — Adult Education; los antecedentes penales generalmente no son barrera para información y referencias.,Verify current intake hours and referral requirements by phone before visiting.,Verifique horarios de admisión y requisitos de referencia por teléfono antes de visitar.,Contact for current hours; confirm before visiting,reentry|marion|indiana|education,GED preparation|Adult diploma programs|Workforce credentials|Career counseling,Marion,,statewide,
82,IndyGo — Reduced Fare Program,transportation,Indianapolis,"IndyGo — Reduced Fare Program serves justice-involved adults and families rebuilding stability after incarceration in Marion County. Indianapolis public transit reduced-fare programs helping low-income Marion County residents access bus transportation to work and appointments. Reduced-fare programs typically require application and proof of income or disability; IDs are needed to receive a pass or card. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","IndyGo — Reduced Fare Program sirve a adultos con antecedentes penales y familias que reconstruyen estabilidad después de la encarcelación en condado de Marion. Los programas de tarifa reducida suelen requerir solicitud y prueba de ingresos o discapacidad; se necesita identificación para recibir un pase o tarjeta. Contacte el programa para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.",1501 West Washington Street,Indianapolis,(317) 635-3344,,https://www.indygo.net,"Residents of Marion County who are justice-involved or recently released; program-specific income, referral, or offense-type rules may apply—confirm at intake.","Residentes de condado de Marion con antecedentes penales o recién liberados; pueden aplicar reglas de ingresos, referencia o tipo de delito—confirme en la admisión.",Verify current intake hours and referral requirements by phone before visiting.,Verifique horarios de admisión y requisitos de referencia por teléfono antes de visitar.,Contact for current hours; confirm before visiting,reentry|marion|indiana|transportation,Reduced-fare transit|Bus pass assistance,Marion,Marion,single,accepts_criminal_record
83,Citilink — Fort Wayne Public Transit,transportation,Fort Wayne,"Citilink — Fort Wayne Public Transit serves justice-involved adults and families rebuilding stability after incarceration in Allen County. Fort Wayne public transit system with reduced-fare options for eligible low-income Allen County riders including returning citizens. Reduced-fare programs typically require application and proof of income or disability; IDs are needed to receive a pass or card. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","Citilink — Fort Wayne Public Transit sirve a adultos con antecedentes penales y familias que reconstruyen estabilidad después de la encarcelación en condado de Allen. Los programas de tarifa reducida suelen requerir solicitud y prueba de ingresos o discapacidad; se necesita identificación para recibir un pase o tarjeta. Contacte el programa para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.",801 Leesburg Road,Fort Wayne,(260) 432-4546,,https://www.fwcitilink.com,"Residents of Allen County who are justice-involved or recently released; program-specific income, referral, or offense-type rules may apply—confirm at intake.","Residentes de condado de Allen con antecedentes penales o recién liberados; pueden aplicar reglas de ingresos, referencia o tipo de delito—confirme en la admisión.",Verify current intake hours and referral requirements by phone before visiting.,Verifique horarios de admisión y requisitos de referencia por teléfono antes de visitar.,Contact for current hours; confirm before visiting,reentry|allen|indiana|transportation,Reduced-fare transit|Bus pass assistance,Allen,Allen,single,accepts_criminal_record
84,MET Evansville — Public Transit,transportation,Evansville,"MET Evansville — Public Transit serves justice-involved adults and families rebuilding stability after incarceration in Vanderburgh County. Evansville public transit providing bus service and reduced-fare programs for Vanderburgh County residents accessing employment and services. Reduced-fare programs typically require application and proof of income or disability; IDs are needed to receive a pass or card. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","MET Evansville — Public Transit sirve a adultos con antecedentes penales y familias que reconstruyen estabilidad después de la encarcelación en condado de Vanderburgh. Los programas de tarifa reducida suelen requerir solicitud y prueba de ingresos o discapacidad; se necesita identificación para recibir un pase o tarjeta. Contacte el programa para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.",100 Main Street,Evansville,(812) 435-6192,,https://www.evansville.in.gov/met,"Residents of Vanderburgh County who are justice-involved or recently released; program-specific income, referral, or offense-type rules may apply—confirm at intake.","Residentes de condado de Vanderburgh con antecedentes penales o recién liberados; pueden aplicar reglas de ingresos, referencia o tipo de delito—confirme en la admisión.",Verify current intake hours and referral requirements by phone before visiting.,Verifique horarios de admisión y requisitos de referencia por teléfono antes de visitar.,Contact for current hours; confirm before visiting,reentry|vanderburgh|indiana|transportation,Reduced-fare transit|Bus pass assistance,Vanderburgh,Vanderburgh,single,accepts_criminal_record
85,St. Vincent de Paul — Indianapolis,basic-needs,Indianapolis,"St. Vincent de Paul — Indianapolis serves justice-involved adults and families rebuilding stability after incarceration in Marion County. Catholic charity providing clothing, furniture, utility assistance, and basic needs support for low-income Marion County residents. Availability varies by season and donations; call ahead when possible to confirm clothing, hygiene kits, or furniture pickup hours. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","St. Vincent de Paul — Indianapolis sirve a adultos con antecedentes penales y familias que reconstruyen estabilidad después de la encarcelación en condado de Marion. La disponibilidad varía según la temporada y donaciones; llame cuando sea posible para confirmar horarios de ropa, kits de higiene o muebles. Contacte el programa para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.",1201 East Maryland Street,Indianapolis,(317) 687-0169,,https://www.svdpcindy.org,"Residents of Marion County who are justice-involved or recently released; program-specific income, referral, or offense-type rules may apply—confirm at intake.","Residentes de condado de Marion con antecedentes penales o recién liberados; pueden aplicar reglas de ingresos, referencia o tipo de delito—confirme en la admisión.",Verify current intake hours and referral requirements by phone before visiting.,Verifique horarios de admisión y requisitos de referencia por teléfono antes de visitar.,Contact for current hours; confirm before visiting,reentry|marion|indiana|basic-needs,Clothing assistance|Hygiene supplies|Emergency basic needs|Furniture referrals,Marion,Marion,single,accepts_criminal_record
86,Dayspring Center — Family Shelter,family-children,Indianapolis,"Dayspring Center — Family Shelter serves justice-involved adults and families rebuilding stability after incarceration in Marion County. Indianapolis family emergency shelter serving parents with children experiencing homelessness including families reuniting after incarceration. Family programs may require participation in treatment or parenting classes; custody status affects some reunification services. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","Dayspring Center — Family Shelter sirve a adultos con antecedentes penales y familias que reconstruyen estabilidad después de la encarcelación en condado de Marion. Los programas familiares pueden requerir participación en tratamiento o clases de crianza; el estado de custodia afecta algunos servicios de reunificación. Contacte el programa para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.",1537 Central Avenue,Indianapolis,(317) 635-6789,,https://www.dayspringcenter.org,"Residents of Marion County who are justice-involved or recently released; program-specific income, referral, or offense-type rules may apply—confirm at intake.","Residentes de condado de Marion con antecedentes penales o recién liberados; pueden aplicar reglas de ingresos, referencia o tipo de delito—confirme en la admisión.",Verify current intake hours and referral requirements by phone before visiting.,Verifique horarios de admisión y requisitos de referencia por teléfono antes de visitar.,Contact for current hours; confirm before visiting,reentry|marion|indiana|family-children,Family reunification support|Parenting services|Case management,Marion,Marion,single,accepts_criminal_record
87,Wheeler Mission — Shelter for Men,housing,Indianapolis / Marion County,"Indianapolis's largest men's emergency shelter operated by Wheeler Mission with on-site case management, meals, medical services, and connections to employment and recovery programs for men experiencing homelessness including returning citizens seeking stable housing after incarceration. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","El refugio de emergencia más grande de Indianápolis para hombres, operado por Wheeler Mission, con manejo de casos en el sitio, comidas, servicios médicos y conexiones a empleo y recuperación para hombres sin hogar, incluidos ciudadanos que regresan de la encarcelación. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",245 North Delaware Street,Indianapolis,(317) 635-3575,,https://wheelermission.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|housing|reentry,Case management|Referrals|Community support,Marion,Marion,single,accepts_criminal_record
88,Wheeler Mission — Center for Women & Children,housing,Indianapolis / Marion County,"Wheeler Mission women's campus providing emergency shelter, addiction recovery, and family programming for women and women with children experiencing homelessness in Marion County including justice-involved women seeking stable housing and treatment. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Campus de mujeres de Wheeler Mission con refugio de emergencia, recuperación de adicciones y programación familiar para mujeres y mujeres con hijos sin hogar en Marion, incluidas mujeres con antecedentes penales que buscan vivienda estable. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",3208 East Michigan Street,Indianapolis,(317) 635-3575,,https://wheelermission.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|housing|reentry,Case management|Referrals|Community support,Marion,Marion,single,accepts_criminal_record
89,Horizon House,housing,Indianapolis / Marion County,"Indianapolis day center serving as Marion County Coordinated Entry access point connecting homeless individuals including ex-offenders to housing navigation, employment support, meals, showers, mail service, and on-site primary health clinic. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Centro diurno de Indianápolis como punto de Entrada Coordinada del condado de Marion que conecta a personas sin hogar, incluidos exdelincuentes, con navegación de vivienda, apoyo de empleo, comidas y clínica de salud en el sitio. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",1033 East Washington Street,Indianapolis,(317) 423-8909,,https://www.horizonhouse.cc,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|housing|reentry,Case management|Referrals|Community support,Marion,Marion,single,accepts_criminal_record
90,PACE — Reentry Housing Navigation,housing,Indianapolis / Marion County,"PACE Indianapolis provides reentry stabilization, housing navigation, employment services, and Recovery Works liaison support for individuals and families impacted by felony convictions in Marion County through walk-in and referral intake. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","PACE Indianápolis ofrece estabilización de reinserción, navegación de vivienda, servicios de empleo y apoyo de enlace Recovery Works para personas y familias afectadas por condenas por delitos graves en Marion. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",1314 North Meridian Street,Indianapolis,(317) 612-6800,,https://www.paceindy.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|housing|reentry,Case management|Referrals|Community support,Marion,Marion,single,accepts_criminal_record
91,Dove Recovery House for Women,housing,Indianapolis / Marion County,"Indianapolis recovery residence for women in substance use recovery providing structured sober living, case management, and community reintegration support including justice-involved women completing treatment and seeking stable housing. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Residencia de recuperación en Indianápolis para mujeres en recuperación de sustancias con vida sobria estructurada, manejo de casos y apoyo de reintegración comunitaria incluyendo mujeres con antecedentes penales. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",3351 North Meridian Street,Indianapolis,(317) 927-8326,,https://www.doverecoveryhouse.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|housing|reentry,Case management|Referrals|Community support,Marion,Marion,single,accepts_criminal_record
92,HVAF — Transitional Housing for Veterans,housing,Indianapolis / Marion County,"HVAF of Indiana operates VA Grant and Per Diem transitional housing and supportive services for homeless and justice-involved veterans statewide with case management linking participants to employment, benefits, and permanent housing placements. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","HVAF de Indiana opera vivienda transicional VA Grant and Per Diem y servicios de apoyo para veteranos sin hogar y con antecedentes penales en todo el estado con manejo de casos hacia empleo, beneficios y vivienda permanente. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",964 North Pennsylvania Street,Indianapolis,(317) 951-0688,,https://hvafofindiana.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|housing|reentry,Case management|Referrals|Community support,Marion,,statewide,accepts_criminal_record
93,Freedom House — Recovery Residence,housing,Indianapolis / Marion County,"Indianapolis recovery residence providing structured sober living for men and women in early recovery from substance use with peer support, life skills, and connections to employment and community resources for Marion County residents. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Residencia de recuperación en Indianápolis con vida sobria estructurada para hombres y mujeres en recuperación temprana de sustancias con apoyo entre pares y conexiones a empleo y recursos comunitarios en Marion. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",1015 North Alabama Street,Indianapolis,(317) 630-8484,,https://www.freedomhouseindy.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|housing|reentry,Case management|Referrals|Community support,Marion,Marion,single,accepts_criminal_record
94,Aurora — Housing Services,housing,Indianapolis / Marion County,"Aurora provides housing-focused case management, rapid rehousing, and permanent supportive housing placements for individuals and families experiencing homelessness in Marion County including returning citizens connected through Coordinated Entry. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Aurora proporciona manejo de casos enfocado en vivienda, realojamiento rápido y colocaciones de vivienda de apoyo permanente para personas y familias sin hogar en Marion incluyendo ciudadanos que regresan. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",1100 East 42nd Street,Indianapolis,(317) 423-9300,,https://www.aurora-indy.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|housing|reentry,Case management|Referrals|Community support,Marion,Marion,single,accepts_criminal_record
95,Salvation Army — Harbor Light Center,housing,Indianapolis / Marion County,"Indianapolis Salvation Army campus providing emergency shelter, transitional housing, and addiction recovery programming for adults including justice-involved individuals seeking stable housing, meals, and structured recovery support. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Campus de Salvation Army en Indianápolis con refugio de emergencia, vivienda transicional y programación de recuperación de adicciones para adultos incluidas personas con antecedentes penales que buscan vivienda estable. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",3100 North Meridian Street,Indianapolis,(317) 637-5551,,https://centralusa.salvationarmy.org/indianapolis,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|housing|reentry,Case management|Referrals|Community support,Marion,Marion,single,accepts_criminal_record
96,Duvall Residential Center,housing,Indianapolis / Marion County,"Marion County Community Corrections residential work release center providing structured housing, employment coordination, and transition programming for justice-involved individuals referred through courts, prosecutors, or IDOC. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Centro residencial de libertad condicional laboral de Correcciones Comunitarias de Marion con vivienda estructurada, coordinación de empleo y programación de transición para personas referidas por tribunales o IDOC. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",1848 Ludlow Avenue,Indianapolis,(317) 327-2500,,https://www.indy.gov/activity/the-duvall-residential-center,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|housing|reentry,Case management|Referrals|Community support,Marion,Marion,single,accepts_criminal_record
97,YWCA — Center for Women and Children,housing,Indianapolis / Marion County,"YWCA Indianapolis operates emergency shelter and transitional housing for women and children experiencing domestic violence or homelessness including women returning from incarceration seeking safe housing and family stabilization. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","YWCA Indianápolis opera refugio de emergencia y vivienda transicional para mujeres e hijos que experimentan violencia doméstica o falta de vivienda incluidas mujeres que regresan de prisión. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",310 East Charles Street,Indianapolis,(317) 955-2534,,https://www.ywcaindiapolis.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|housing|reentry,Case management|Referrals|Community support,Marion,Marion,single,accepts_criminal_record
98,Adult & Child Health — Supportive Housing,housing,Indianapolis / Marion County,"Behavioral health provider operating supportive housing and Coordinated Entry assessments for individuals with mental health needs experiencing homelessness in Marion County including justice-involved clients needing clinical and housing support. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Proveedor de salud conductual con vivienda de apoyo y evaluaciones de Entrada Coordinada para personas con necesidades de salud mental sin hogar en Marion incluidos clientes con antecedentes penales. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",603 East Washington Street,Indianapolis,(317) 882-5122,,https://www.adultandchild.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|housing|reentry,Case management|Referrals|Community support,Marion,Marion,single,accepts_criminal_record
99,Damien Center — Housing Support,housing,Indianapolis / Marion County,"Indianapolis HIV services organization providing housing assistance, medical case management, and supportive services for individuals living with HIV including justice-involved clients needing stable housing and healthcare coordination. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Organización de servicios VIH en Indianápolis con asistencia de vivienda, manejo de casos médicos y servicios de apoyo para personas con VIH incluidos clientes con antecedentes penales. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",26 North Arsenal Avenue,Indianapolis,(317) 632-0123,,https://www.damien.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,indianapolis|marion|housing|reentry,Case management|Referrals|Community support,Marion,Marion,single,accepts_criminal_record
100,Bridges of Hope — Transitional Housing,housing,Anderson / Madison County,"Anderson nonprofit providing transitional housing and case management for individuals and families experiencing homelessness in Madison County including returning citizens seeking stable housing and community reintegration support. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Organización sin fines de lucro de Anderson con vivienda transicional y manejo de casos para personas y familias sin hogar en Madison incluidos ciudadanos que regresan. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",1208 West 29th Street,Anderson,(765) 649-1100,,https://www.bridgesofhopeinc.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,anderson|madison|housing|reentry,Case management|Referrals|Community support,Madison,Madison,single,accepts_criminal_record
101,Catholic Charities — Fort Wayne Housing,housing,Fort Wayne / Allen County,"Catholic Charities Fort Wayne-South Bend provides emergency assistance and housing stabilization services for low-income Allen County residents including individuals reentering the community after incarceration or community supervision. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Caridades Católicas Fort Wayne-South Bend proporciona asistencia de emergencia y estabilización de vivienda para residentes de bajos ingresos de Allen incluidas personas que reingresan a la comunidad. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",915 South Clinton Street,Fort Wayne,(260) 422-5625,,https://www.ccfwsb.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,fort wayne|allen|housing|reentry,Case management|Referrals|Community support,Allen,Allen,single,accepts_criminal_record
102,Ozanam Family Shelter,housing,Evansville / Vanderburgh County,"Catholic Charities emergency family shelter in Evansville providing temporary housing and case management for families experiencing homelessness in Vanderburgh County including parents reuniting with children after incarceration. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Refugio familiar de emergencia de Caridades Católicas en Evansville con vivienda temporal y manejo de casos para familias sin hogar en Vanderburgh incluidos padres que se reúnen con hijos después de prisión. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",1000 East Walnut Street,Evansville,(812) 423-0293,,https://www.ccfwsb.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,evansville|vanderburgh|housing|reentry,Case management|Referrals|Community support,Vanderburgh,Vanderburgh,single,accepts_criminal_record
103,LifeHouse — Lafayette,housing,Lafayette / Tippecanoe County,"Lafayette transitional housing program providing structured sober living and case management for men in recovery from substance use including justice-involved individuals in Tippecanoe County seeking stable housing after treatment. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting.","Programa de vivienda transicional en Lafayette con vida sobria estructurada y manejo de casos para hombres en recuperación de sustancias incluidas personas con antecedentes penales en Tippecanoe. Contacte el programa para confirmar horarios de admisión, requisitos de referencia y documentación antes de su primera visita.",1035 Ferry Street,Lafayette,(765) 423-4881,,https://www.lifehouseinc.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours,lafayette|tippecanoe|housing|reentry,Case management|Referrals|Community support,Tippecanoe,Tippecanoe,single,accepts_criminal_record
104,Hope House — South Bend,housing,South Bend / St. Joseph County,"Hope House — South Bend is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. South Bend emergency shelter providing temporary housing, meals, and case management connecting homeless individuals including returning citizens in St. Joseph County to permanent housing and community support services. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in St. Joseph County. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Hope House — South Bend es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en condado de St. Joseph. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",432 South Lafayette Boulevard,South Bend,(574) 235-4150,,https://www.hopehouseinc.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,south bend|st. joseph|housing|reentry|indiana|st.-joseph,Case management|Referrals|Community support,St. Joseph,St. Joseph,single,
105,Shepherd's House — Bloomington,housing,Bloomington / Monroe County,"Shepherd's House — Bloomington is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. Bloomington recovery residence providing sober living and peer support for men in substance use recovery including justice-involved individuals seeking structured housing and community accountability in Monroe County. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in Monroe County. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Shepherd's House — Bloomington es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en condado de Monroe. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",213 South Rogers Street,Bloomington,(812) 333-7573,,https://www.shepherdshouseinc.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,bloomington|monroe|housing|reentry|indiana,Case management|Referrals|Community support,Monroe,Monroe,single,
106,Genesis House — Gary,housing,Gary / Lake County,"Genesis House — Gary is a statewide or regional referral resource for Hoosiers affected by the criminal justice system. Gary recovery residence providing structured sober living for men and women in early recovery from substance use with connections to employment, treatment, and community resources in Lake County. Contact the program to confirm current intake hours, referral requirements, and documentation before visiting. Users can search by location, service type, or need to find active providers in Lake County. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Genesis House — Gary es un recurso de referencia estatal o regional para hoosiers afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en condado de Lake. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",513 West 19th Avenue,Gary,(219) 886-1111,,https://www.genesisrecoveryinc.org,Contact program for eligibility; justice-involved individuals often accepted per program policy.,Contacte el programa para elegibilidad; personas con antecedentes penales a menudo aceptadas según política del programa.,Call ahead to confirm intake hours and referral requirements.,Llame con anticipación para confirmar horarios de admisión y requisitos de referencia.,Contact for current hours; confirm before visiting,gary|lake|housing|reentry|indiana,Case management|Referrals|Community support,Lake,Lake,single,
